stagenm	birthnm	firstnm	dob	origin	gender
Romy Schneider	Albach-Retty	Rosemarie	1938	\Os	F
Michael Schoeffling	#	#	#	\Un	M
Kyra Schon	#	#	#	\Un	F
Avery Schreiber	#	#	#	\Un	M
stagenm	fmn	gn	#	\Un	G
Dwight Schultz	Schultz	Dwight	#	\Am	M
Reinhold Schunzel	Schunzel	Reinhold	1886	\Ge	M
Scott Schwartz	#	#	#	\Un	M
Maurice Schwarz	Schwarz	Maurice	1891	\Am	M
Patti Scialfa	bn	fn	#	#	F
Annbelle Sciorra	Sciorra	Annabelle	#	\Am	F
Edith Scon	#	#	#	\Un	F
Zvee Scooler	#	#	#	\Un	#
Martin Scorsese	Scorcese	Martin	#	\Un	M
Campbell Scott	Scott	Campbell	#	\Am	M
David Scott	#	#	#	\Un	M
Donovan Scott	#	#	#	\Un	M
George C. Scott	Scott	George Campbell	1926	\Am	M
Jane Scott	#	#	#	\Un	F
Ken Scott	Scott	Ken	#	\Am	M
Margaretta Scott	Scott	Margaretta	1912	\Br	F
Martha Scott	Scott	Martha	1914	\Am	F
Mary Scott	Scott	mary	#	\Un	F
Pippa Scott	Scott	Pippa	1935	\Am	F
Randolph Scott	Crane	Randolph	1903	\Am	M
Terry Scott	Scott	Terry	1927	\Br	M
Vito Scotti	#	#	#	\Un	M
Linda Scruggs	#	#	#	\Un	F
Franklyn Seales	#	#	#	\Un	M
Heather Sears	Sears	Heather	1935	\Br	F
James Seay	#	#	#	\Un	M
Josef Sebanek	#	#	#	\Un	M
Vivienne Segal	Segal	Vivienne	1897	\Am	F
Pierre Segui	#	#	#	\Un	M
Johnny Sekka	Sekka	Johnny	#	\WA	M
David Selby	Selby	David	1941	\Am	M
Milton Selzer	#	#	#	\Un	M
Larry Semon	Semon	Larry	1889	\Am	M
Kent Senatore	#	#	#	\Un	M
Joe Seneca	#	#	#	\Un	M
Assumpta Serna	#	#	#	\Un	F
Julieta Serrano	#	#	#	\Un	F
Christopher Serrone	Serrone	Christopher	1976	\Am	M
Pilar Seurat	Seurat	Pilar	#	#	F
Dan Seymour	Seymour	Dan	1915	\Am	M
Ralph Seymour	#	#	#	\Un	M
Kamran Shah	Shah	Kamran	#	\Un	F
ShabbaDoo	#	#	#	\Un	#
Glen Shadix	#	#	#	\Un	M
Wallace Shaen	#	#	#	\Un	M
Paul Shaffer	#	#	#	\Un	M
Tupac Shakur	#	#	#	\Un	M
Harry Shannon	Shannon	Harry	1890	\Am	M
Ray Sharkey	Sharkey	Ray	1952	\Am	M
William Shatner	Shatner	William	1931	\Ca	M
Mickey Shaughnessy	Shaughnessy	Mickey	1920	\Am	M
Helen Shaver	#	#	#	\Un	F
Stan Shaw	#	#	#	\Un	M
Susan Damante Shaw	#	#	#	\Un	F
John Shea	#	#	#	\Un	M
Harry Shearer	#	#	#	\Un	M
Norma Shearer	Shearer	Norma	1900	\Ca	F
Alice Sheedy	#	#	#	\Un	F
Charlie Sheen	Sheen	Charlie	#	#	M
Reginald Sheffield	Sheffield	Reginald	1901	\Br	M
Elizabeth Shepherd	Shepherd	Elizabeth	#	\Br	F
Michael Shepley	Shepley-Smith	Michael	1907	\Br	M
Paula Sheppard	#	#	#	\Un	F
Margaret Sheridan	#	#	#	\Un	F
Yoko Shimada	#	#	#	\Un	F
Bill Shine	Shine	Bill	1911	\Br	M
Sue Shiomi	#	#	#	\Un	F
Yumi Shirakawa	#	#	#	\Un	F
Dan Shor	#	#	#	\Un	M
Dinah Shore	Shore	Francis (Fanny) Rose	1917	\Am	F
Dorothy Short	#	#	#	\Un	F
Martin Short	#	#	1950	\Am	M
Robert Show	#	#	#	\Un	M
Max Showalter	Adams	Casey	1904	\Br	M
Ricky Shroder	#	#	#	\Un	M
Richard B. Shull	#	#	#	\Un	M
Elizabeth Shue	Shue	Elizabeth	#	\Am	F
Mort Shuman	#	#	#	\Un	M
Sabrina Siami	#	#	#	\Un	F
Basil Sidney	#	#	#	#	M
Gregory Sierra	Sierra	Gregory	#	\Am	M
Cynthia Sikes	#	#	#	\Un	F
James B. Sikking	Sikking	James B.	#	\Un	M
Milton Sills	Silvs	Milton	1882	\Am	M
Henry Silva	Silva	Henry	1928	\It	M
Trididad Silva	#	#	#	\Un	#
Silvain	#	#	#	\Fr	M
Joan Micklin Silver	Silver	Joan Micklin	1935	\Am	F
Joe Silver	#	#	#	\Un	M
Ron Silver	Silver	Ron	#	\Un	M
Jay Silverheels	Silverheels	Jay	1919	\Ca	M
Gerald Sim	Sim	Gerald	1925	\Br	M
Vasek Simek	Simek	Vasek	1928	\Cz	M
Arlene Simmons	#	#	#	\Un	F
Jean Simmons	Simmons	Jean	1929	\Br	F
Simone Simon	Simon	Simone	1910	\Fr	F
Peggy Simpson	#	#	#	\Un	F
Gordon John Sinclair	#	#	#	\Un	M
Lori Singer	#	#	#	\Un	F
Marc Singer	#	#	#	\Un	M
Steve Singer	#	#	#	\Un	M
Joseph Sirola	#	#	#	\Un	M
Lilia Skala	Skala	Lilia	#	\Ge	F
Tom Skerritt	Skerritt	Tom	1933	\Am	M
Cornelia Otis Skinner	Skinner	Cornelia	1901	\Am	F
Otis Skinner	Skinner	Otis	1858	\Am	M
Olga Slade	#	#	#	\Un	F
Richard B. Skull	#	#	#	\Un	M
Christian Slater	#	#	1969	\Un	M
Helen Slater	#	#	#	#	F
Richard X. Slattery	#	#	#	\Un	M
Hana Slikova	#	#	#	#	F
Marya Small	#	#	#	\Un	F
Brooke Smith	Smith	Brooke	1968	\Ct	F
Bubba Smith	#	#	#	\Un	#
Charles Martin Smith	#	#	#	\Un	M
Kate Smith	#	#	#	\Un	F
Kent Smith	Smith	Kent	1907	\Am	M
Lane Smith	#	#	#	\Un	F
Mel Smith	#	#	#	#	M
Rainbeaux Smith	Smith	Cheryl	#	\Un	F
Rex Smith	#	#	#	\Un	M
Innokenti Smoktunovsky	Smoktunovsky	Innokenti	1925	\Ru	M
Terri Susan Smith	#	#	#	\Un	F
William Smith	#	#	#	\Un	M
Sonja Smits	#	#	#	\Un	F
Jimmy `The Greek' Snyder	#	#	#	\Un	M
Park Jong Sod	#	#	#	\Un	M
Abraham Sofaer	Sofaer	Abraham	1896	\Bu	M
Sojin	Sojin	fn	#	\Ja	M
P.J. Soles	#	#	#	\Un	M
Andrew Solt	#	#	#	\Un	M
Julie Sommars	#	#	#	\Un	F
Gale Sondergaard	Sondergaard	Edith	1899	\Am	F
Paul Sonkkila	#	#	#	\Un	F
Linda Sorenson	#	#	#	\Un	F
Sissy Spacek	Spacek	Sissy	1950	\Am	F
Merrie Spaeth	#	#	#	\Un	F
Fay Spain	#	#	#	\Un	F
Vincent Spano	#	#	#	\Un	M
Hazel Spears	#	#	#	\Un	F
Bruce Spence	#	#	#	\Un	M
Bud Spencer	Pedersoli	Carlo	1929	\It	M
George Spencer	#	#	#	\Un	M
Joe Spinell	#	#	#	\Un	M
The Loving Spoonful	#	#	#	\Un	G
G.D. Spradlin	#	#	#	\Un	M
Rick Springfield	#	#	#	\Un	M
Robert Stack	Modini	Robert	1919	\Am	M
James Stacy	#	#	#	\Un	M
Richard Stahl	#	#	#	\Un	M
Philip Stainton	Stainton	Philip	1908	\Br	M
Sylvester Stallone	Stallone	Sylvester	1946	\Am	M
James Staley	#	#	#	\Un	M
Guy Standing	Standing	Sir Guy	1873	\Br	M
Jiri Stanislav	#	#	#	\Un	M
Forrest Stanley	#	#	#	\Un	M
Jean Stapleton	Murray	Jean	1923	\Am	F
Pauline Starke	Starke	Pauline	1901	\Am	F
Mary Steenburgen	Steenburgen	Mary	1952	\Am	F
Harvey Stephens	#	#	1970	\Am	M
James Stephenson	Stephenson	James	1888	\Br	M
Linda Sterling	#	#	#	\Am	F
Tisa Sterling	#	#	#	\Am	F
Inger Stevens	Stensland	Inger	1935	\Sw	F
Rise Stevens	Stevens	Rise	1913	\Am	F
Anita Stewart	Stewart	Anna May	1895	\Am	F
James Stewart	Stewart	James Maitland	1908	\Am	M
Paul Stewart	Stewart	Paul	1908	\Am	M
David Ogden Stiers	Stiers	David Ogden	#	\Am	M
Ben Stiller	Stiller	Ben	#	\Am	M
Eric Stoltz	Stoltz	Eric	1962	#	M
George E. Stone	Stein	George	1903	\Po	M
Lewis Stone	Stone	Lewis	1879	\Am	M
Sharon Stone	Stone	Sharon	#	\Am	F
Gale Storm	Cottle	Josephine	1922	\Am	F
Dorothy Stratten	Stratten	Dorothy	1960	#	F
Barbra Streisand	Streisand	Barbara Joan	1942	\Am	F
Ray Stricklyn	Stricklyn	Ray	1930	\Am	M
John Stride	Stride	John	1936	\Br	M
Woody Strode	Strode	Woodrow	1914	\Am	M
Annette Stroyberg	Stroyberg	Annette	#	\Ct	F
Margaret Sullavan	Brooke	Margaret	1911	\Am	F
Barry Sullivan	Barry	Patrick	1912	\Am	M
Geoffrey Sumner	Sumner	Geoffrey	1908	\Br	M
Grady Sutton	Sutton	Grady	1908	\Am	M
John Sutton	Sutton	John	1908	\Br	M
Bo Svenson	Svenson	Bo	1941	\Am	M
Dominique Swain	Swain	Dominique	#	\Un	F
Mack Swain	Swain	Mack	1876	\Am	M
Gloria Swanson	Swenson	Josephine	1897	\Am	F
Gladys Swarthout	Swarthout	Gladys	1904	\Am	F
Bob Sweeney	Sweeney	fn	#	\Am	M
Blanche Sweet	Wayne	Daphne	1895	\Am	F
Constance Talmadge	Talmadge	Constance	1898	\Am	F
Quentin Tarantino	Tarantino	Quentin	#	\Am	M
Lilyan Tashman	Tashman	Lilyan	1899	\Am	F
Reba Tassel	Tassel	Reba	#	\Am	F
Jaques Tati	Tati	Jaques	1908	\Fr	M
Richard Tauber	Tauber	Richard	1892	\Os	M
Vic Tayback	Tayback	Vic	#	\Am	M
Alma Taylor	Taylor	Alma	1895	\Br	F
Kent Taylor	Weiss	Louis	1907	\Am	M
Valerie Taylor	Taylor	Valerie	#	\Ct	F
Verree Teasdale	Teasdale	Verree	1904	\Am	F
Alice Terry	Taafe	Alice	1899	\Am	F
TerryThomas	Terry-Thomas	gn	#	\Ct	M
Torin Thatcher	Thatcher	Torin	1905	\Br	M
John Thaw	Thaw	John	1942	\Br	M
Ernest Thesiger	Thesiger	Ernest	1879	\Br	M
Roy Thinnes	Thinnes	Roy	1938	\Am	M
Jameson Thomas	Thomas	Jameson	1892	\Br	M
Shawn Thompson	#	#	#	\Un	M
Frank Thring	Thring	Frank	#	\Au	M
Thu Thuy	#	#	#	\Vi	#
Bill Thurman	#	#	#	\Un	M
Theodora Thurman	#	#	#	\Un	F
Tiana	Nga	Tiana Thi Thanh	#	\Vi	F
Lawrence Tibbett	Tibbett	Lawrence	1896	\Am	M
Joseph Ticka	#	#	#	\Un	M
Cheryl Tiegs	Tiegs	Cheryl	#	\Am	F
Lawrence Tierney	Tierney	Lawrence	1919	\Am	M
Nadja Tiller	Tiller	Nadja	1929	\Os	F
Mel Tillis	#	#	#	\Un	M
Johnny Tillotson	#	#	#	\Un	M
Meg Tilly	Tilly	Meg	1960	\Am	F
Charlene Tilton	#	#	#	\Un	F
Martha Tilton	Tilton	Martha	1915	\Am	F
Charles Tingwell	Tingwell	Charles	1917	\Au	M
Oliver Tobias	Tobias	Oliver	1947	\Br	M
Genevieve Tobin	Tobin	Genevieve	1901	\Am	F
Thelma Todd	Todd	Thelma	1905	\Am	F
Marilu Tolo	#	#	#	\Un	M
Jeana Tomasina	#	#	#	\Un	F
Marisa Tomei	Tomei	Marisa	#	\Am	F
David Tomlinson	Tomlinson	David	1917	\Br	M
Geoffrey Toonen	#	#	#	\Un	M
Mel Torm\'e	Torm\'e	Mel	1923	\Am	M
David Torrence	Torrence	David	1864	\Br; Scots	M
Ernest Torrence	Torrence	Ernest	1878	\Br; Scots	M
Audrey Totter	Totter	Audrey	1918	\Am	F
Harry Townes	#	#	#	\Un	M
Jill Townsend	#	#	#	\Un	F
Patrice Townsend	#	#	#	\Un	F
Stuart Townsend	Fn	Gn	#	\Ir	M
J.R. Tozer	#	#	#	\Un	M
Arthur Tracy	Rosenberg	Harry	1903	\Am	M
Spencer Tracy	#	#	1900	\Un	M
William Tracy	Tracy	William	1917	\Am	M
Mary Ellen Trainor	#	#	#	\Un	F
Helen Traubel	Traubel	Helen	1899	\Am	F
Daniel J. Travanti	#	#	#	\Un	M
Bill Travers	Travers	Bill	1922	\Br	M
Jemru Travers	#	#	#	\Un	M
Nancy Travis	Travis	Nancy	#	\Am	F
Mary Treen	Treen	Mary	1907	\Am	F
Noel Trevarthen	#	#	#	\Un	M
Jack Trevor	#	#	#	\Un	M
Les Tremayne	#	#	#	\Un	M
Ivan Triesault	Triesault	Ivan	1898	Eastern European	M
Trigger	Tigger	none	1932	\Am	A
Dorothy Tristan	#	#	#	\Un	F
Massimo Troisi	Troisi	Massimo	1953	\Un	M
Judy Trott	#	#	#	\Un	F
Cecil Trouncer	Trouncer	Cecil	1898	\Br	M
Charles Trowbridge	Trowbridge	Charles	1882	\Am	M
Michael Trubshawe	Trubshawe	Michael	#	\Ct	M
Ernest Truex	Truex	Ernest	1890	\Am	M
Francois Truffaut	Truffaut	Francois	1932	\Un	M
Paris Tselios	#	#	#	\Un	M
William Tubbs	Tubbs	William	1909	\Am	M
Forrest Tucker	Tucker	Forrest	1919	\Am	M
Michael Tucker	#	#	#	\Un	M
Tom Tully	Tully	Tom	1896	\Am	M
Elizabeth Turner	#	#	#	\Un	F
Florence Turner	Turner	Florence	1887	\Am	F
Janine Turner	Turner	Janine	1964	\Am	F
Tina Turner	#	#	#	\Am	F
Lurene Tuttle	#	#	#	\Un	F
Tracy Tweed	Tweed	Tracy	#	\Am	F
Liv Tyler	Tyler	Liv	#	\Am	F
Charles Tyner	#	#	#	\Un	M
Leonore Ulric	Ulrich	Leonore	1892	\Am	F
Edward Underdown	Underdown	Edward	1908	\Br	M
Robert Urich	#	#	#	\Un	M
Badi Uzza	#	#	#	\Un	#
Vera Vague	#	#	#	\Un	F
Rudolph Valentino	d'Antonguolla	Rodolpho	1895	\Am	M
Alida Valli	Altenburger	Alida Maria	1921	\It	F
Romolo Valli	#	#	#	\Un	M
Virginia Valli	McSweeny	Virginia	1898	\Am	F
Saverio Vallone	#	#	#	\Un	M
Bobby Van	Stein	Robert	1930	\Am	M
Lee VanCleef	Van Cleef	Lee	1925	\Am	M
Jose vanDam	vanDam	Jos\'e	#	\Be	M
Barry VanDyke	#	#	#	\Un	M
Conny VanDyke	#	#	#	\Un	F
Peter VanEyck	Van Eyck	Peter	1911	\Ge	M
John VanEyssen	Van Eyssen	John	1925	\SA(frican)	M
Kevin VanHentenryck	#	#	#	\Un	M
Jon VanNess	#	#	#	\Un	M
Rik VanNutter	#	#	#	\Un	M
Nina VanPallandt	Van Pallandt	Nina	1932	\Da	F
Jimmie VanPatten	Van Patten	James	#	\Un	M
Timothy VanPatten	#	#	#	\Un	M
Vincent VanPatten	#	#	#	\Un	M
Deborah VanRhyn	#	#	#	\Un	F
Deborah VanValkenburgh	#	#	#	\Un	F
Monique VanVooren	#	#	#	\Un	F
Leonor Varela	Varela	Leonor	1985	Chile	F
Valentina Vargas	#	#	#	\Un	F
Beatrice Varley	Varley	Beatrice	1896	\Br	F
Diane Varsi	Varsi	Diane	1938	\Am	F
Peter Vaughan	Ohm	Peter	1923	\Br	M
Martin Vaughn	#	#	#	\Un	M
Robert Vaughn	Vaughn	Robert	1932	\Am	M
Lupe Velez	Velez de Villalobos	Guadeloupe	1908	\Me	F
Reginald VelJohnson	#	#	#	#	M
Chick Vennera	#	#	#	\Un	M
Diane Venora	#	#	#	\Un	F
Gwen Verdon	Verdon	Gwen	1925	\Am	F
Anne Vernon	Vignaud	Edith	1925	\Fr	F
Verushka	#	#	#	\Un	F
Virginia Vestoff	#	#	#	\Un	M
Marcel Vibert	#	#	#	\Un	M
Henry Victor	Victor	Henry	1898	\Br	M
Henri Vidal	Vidal	Henri	1919	\Fr	M
Asia Viera	#	#	#	\Un	F
Robert Viharo	#	#	#	\Un	M
Tony Vilar	#	#	#	\Un	M
Henri Vilbert	#	#	#	\Un	M
James Villiers	Villiers	James	1933	\Br	M
Jesse Vint	#	#	#	\Un	M
Enzo Vitale	#	#	#	\Un	M
Mario Vitale	#	#	#	\Un	M
Viva	#	#	#	\Un	F
Ruth Vivian	#	#	#	\Un	F
Karl Michael Vogler	Vogler	Karl	1928	\Ge	M
Ferdinand vonAlten	#	#	#	\Un	M
Thomas vonBr\"omssen	#	#	#	\Un	M
Lenny VonDohlen	#	#	#	\Un	M
George Voskovec	Voskovec	George	1905	\Cz	M
Frank Vosper	Vosper	Frank	1899	\Br	M
Andreas Voutsina	#	#	#	\Un	M
Milena Vukotic	#	#	#	\Un	F
John Wade	#	#	#	\Un	M
Russel Wade	#	#	#	\Un	M
Christie Wagner	#	#	#	\Un	F
Ralph Waite	Waite	Ralph	1928	\Am	M
Akiko Wakabayashi	#	#	#	\Un	F
Eijo Wakabayashi	#	#	#	\Un	M
Duggie Wakefield	Wakefield	Duggie	1899	\Br	M
Anton Walbrook	Wohlbr\"uck	Adolf Anton	1900	\Os	M
Christopher Walken	Walken	Christopher	1943	\Am	M
Clint Walker	Walker	Norman	1927	\Am	M
Kathryn Walker	#	#	#	\Un	F
Maggie Walker	#	#	#	\Un	F
Nancy Walker	Barto	Ann Swoyer	1921	\Am	F
Nella Walker	Walker	Nella	1886	\Am	F
Robert Walker	Walker	Robert	1914	\Am	M
Robert Walker~jr.	Waker	Robert~jr.	1941	\Am	M
Tippy Walker	#	#	#	\Un	F
Max Wall	Wall	Max	#	\Un	M
Bill Wallace	#	#	#	\Un	M
Eli Wallach	Wallach	Eli	1915	\Am	M
Bill Wallis	#	#	#	\Un	M
Tom Walls	Walls	Tom	1883	\Br	M
Hugh Walpole	Walpole	Sir Hugh	1884	\Br	M
J.T. Walsh	Walsh	J.T	1944	\Am	M
Julie Walter	#	#	#	\Un	F
Tracey Walter	#	#	#	\Un	F
Julie Walters	#	#	#	\Un	F
Henry B. Walthall	Walthall	Henry	1878	\Am	M
Sam Wanamaker	Wanamaker	Sam	1919	\Am	M
Fred Ward	#	#	#	\Un	M
Michael Ward	Ward	Michael	1915	\Br	M
Herta Ware	#	#	#	\Un	F
Andy Warhol	Warhol	Andy	1926	\Am	M
S.J. Warmington	#	#	#	\Un	M
Jack Warner	#	#	#	\Un	M
Marcia Warner	#	#	#	\Un	F
Fran Warren	#	#	#	\Un	F
Michael Warren	#	#	#	\Un	M
Harold Warrender	Warrender	Harold	1903	\Br	M
David Warrilow	#	#	#	\Un	M
Dionne Warwick	#	#	#	\Un	F
Richard Warwick	#	#	#	\Un	M
Robert Warwick	Bien	Robert Taylor	1878	\Am	M
Beverly Washburn	#	#	#	\Un	F
Bryant Washburn	Washburn	Bryant	1988	\Am	M
Denzel Washington	#	#	#	\Un	#
Mavis Washington	#	#	#	\Un	#
Ted Wass	#	#	#	\Un	M
Gedde Watanabe	#	#	#	\Un	#
William Waterman	#	#	#	\Un	M
John Waters	#	#	#	\Un	M
Charlene Watkins	#	#	#	\Un	F
Bobby Watson	#	#	#	\Un	M
Bobs Watson	Watson	Bobs	1931	\Am	M
Douglass Watson	#	#	#	\Un	M
Jack Watson	Watson	Jack	1921	\Br	M
Timothy Watson	#	#	#	\Un	M
Kristina Wayborn	#	#	#	\Un	F
David Wayne	McMeekan	Wayne	1914	\Am	M
Ethan Wayne	Wayne	Ethan	#	\Un	M
Johnny Wayne	#	#	#	\Un	M
Keith Wayne	#	#	#	\Un	M
Michael Wayne	Wayne	Michael	#	\Un	M
Nina Wayne	#	#	#	\Un	F
Carl Weathers	#	#	#	\Un	M
Fritz Weaver	Weaver	Fritz	1926	\Am	M
Clifton Webb	Hollenbeck	Webb Parmelee	1893	\Am	M
Jack Webb	Webb	Jack	1920	\Am	M
Richard Webb	Webb	Richard	#	\Am	M
Ben Webster	Webster	Ben	1864	\Br	M
Ann Wedgeworth	#	#	#	\Un	F
Leslie Weiner	#	#	#	\Un	#
Bruce Weitz	#	#	#	\Un	M
Tahnee Welch	#	#	#	\Un	F
Mary Louise Weller	#	#	#	\Un	F
Gwen Welles	#	#	#	\Un	F
Mel Welles	#	#	#	\Un	#
Billy Wells	#	#	#	\Un	#
Dawn Wells	#	#	#	\Un	F
Jennifer Wells	#	#	#	\Un	F
Klaus Wenneman	#	#	#	\Un	M
Fritz Wepper	#	#	#	#	M
Dianne West	#	#	#	\Un	F
Mae West	West	Mae	1892	#	F
John Westbrook	Westbrook	John	#	\Ct	M
Gordon Westcott	Westcott	Gordon	1903	\Am	M
James Westmoreland	#	#	#	\Un	M
David Weston	Weston	David	1938	\Br	M
Jack Weston	Weston	Jack	1926	\Am	M
Margaret Weycherle	#	#	#	\Un	F
Joanne Whalley	Whalley-Kilmer	Joanne	1960	\Br	F
Alan Wheatley	Wheatley	Alan	1907	\Br	M
Russ Wheeler	#	#	#	\Un	M
Manning Whiley	Whiley	Manning	1915	\Br	M
John Sylvester White	#	#	#	\Un	M
Ted White	#	#	#	\Un	M
Wilfrid Hyde White	#	#	#	\Un	M
Paul Whiteman	Whiteman	Paul	1890	\Am	M
Lynn Whitfield	Whitfield	Lynn	1954	\Un	F
Mae Whitman	Whitman	Mae	1989	\Un	F
James Whitmore~jr.	#	#	#	\Un	M
Peter Whitney	Engle	Peter King	1916	\Am	M
Paul Whitsun-Jones	Whitsun-Jones	Paul	1923	\Br	M
The Who	#	#	#	\Br	G
Richard Whorf	Whorf	Richard	1906	\Am	#
The Wiere~Brothers	#	#	#	\Un	G
Lynda Wiesmeyer	#	#	#	\Un	F
Collin Wilcox	Wilcox	Collin	#	\Am	F
Larry Wilcox	#	#	#	\Un	M
Estelle Wildwood	#	#	#	\Un	F
Jan Wiley	#	#	#	\Un	F
Jose Wilker	#	#	#	\Un	M
Joy Wilkerson	#	#	#	\Un	F
Donna Wilkes	#	#	#	\Un	F
Fred Willard	#	#	#	\Un	M
Toyah Willcox	#	#	#	\Un	F
Warren William	Krech	Warren	1895	\Am	M
Adam Williams	Williams	Adam	1929	#	M
Bernie Williams	#	#	#	\Un	M
Eric Bransby Williams	#	#	#	\Un	M
Emlyn Williams	Williams	Emlyn	1905	\Br; Welsh	M
Harcourt Williams	Williams	Harcourt	1880	\Br	M
John Williams	Williams	John	1903	\Br	M
Kathlyn Williams	Williams	Kathlyn	1888	\Am	F
Robert Williams	Williams	Robert	1897	\Am	M
Sharon Williams	Williams	Sharon	#	\Un	F
Fred Williamson	Williamson	Fred	1938	\Am	M
Noble Willingham	#	#	#	\Un	M
Austin Willis	#	#	#	\Un	M
Bruce Willis	#	#	1941	\Anm	M
Pierre-Richard Willm	#	#	#	\Un	M
Noel Willman	Willman	Noel	1918	\Br	M
Brember Wills	Wills	Brember	1883	\Br	M
Candy Wilson	#	#	#	\Un	F
Elizabeth Wilson	#	#	#	\Un	F
George Wilson	#	#	#	\Un	M
Josephine Wilson	#	#	#	\Un	M
Lois Wilson	Wilson	Lois	1895	\Am	F
Margery Wilson	#	#	#	\Un	F
Mary Louise Wilson	#	#	#	\Un	F
Michael G. Wilson	#	#	#	\Un	M
Scott Wilson	Wilson	Scott	1942	\Am	M
Trey Wilson	Wilsom	Trey	#	\Am	M
Paul Winchell	#	#	#	\Un	M
Walter Winchell	Winchell	Walter	1897	\Am	M
Claire Windsor	Cronk	Olga	1898	\Am	F
Penelope Windust	#	#	#	\Un	F
Kitty Winn	#	#	#	\Un	F
Philip Winter	#	#	#	\Un	M
Deborah Winters	#	#	#	\Un	F
Norman Wisdom	Wisdom	Norman	1918	\Br	M
Joseph Wiseman	Wiseman	Joseph	1919	\Am	M
Cora Witherspoon	Witherspoon	Cora	1890	\Am	F
Alexander Wolcott	#	#	#	\Un	M
Michael Wolf	#	#	#	\Un	M
Allan Wolfe	#	#	#	\Un	M
Ian Wolfe	Wolfe	Ian	1896	\Am	M
Louis Wolheim	Wolheim	Louis	1880	\Ge	M
Anna May Wong	Wong	Liu Tsong	1907	\Ch-\Am	F
Cyndi Wood	#	#	#	\Un	F
David Wood	#	#	#	\Un	M
Edward D. Wood~jr.	Wood	Edward D. jr.	1924	\Am	M
Elijah Wood	Wood	Elijah	1981	\Ct	M
Gary Wood	#	#	#	\Un	M
Lana Wood	Wood	Lana	#	#	F
Alfre Woodard	Woodard	Alfre	#	\Am	F
George Woodbridge	Woodbridge	George	1907	\Br	M
Bill Woods	#	#	#	\Un	M
James Woods	#	#	#	\Un	M
Edward Woodward	Woodward	Edward	#	\Br	M
Joanne Woodward	Woodward	Joanne	1930	\Am	F
Morgan Woodward	#	#	#	\Un	M
Norman Wooland	Wooland	Norman	1905	\Br	M
Hank Worden	Worden	Norton Earl	1901	\Am	M
Christina World	#	#	#	\Un	F
Marie Wright	#	#	#	\Un	F
Michael Wright	#	#	#	\Un	M
Vivian Wu	Wu	Vivian	#	\Ch	F
Jane Wyatt	Wyatt	Jane	1912	\Am	F
Sandy Wyeth	#	#	#	\Un	#
Stephen Wyman	Wyman	Stephen	1963	\Am	M
Patrick Wymark	Cheesman	Patrick	#	\Br	M
Dennis Wyndham	#	#	#	\Un	M
Greg Wynne	#	#	#	\Un	M
Tsutomu Yamazaki	#	#	#	\Un	M
Celeste Yarnall	#	#	#	\Un	F
Cassie Yates	#	#	#	\Un	F
Yury Yarvet	#	#	#	\Ru	M
Jeff York	York	Jeffrey	#	\Un	M
Rebecca York	#	#	#	\Un	F
Arthur Young	Young	Arthur	1898	\Br	M
Burt Young	Young	Burt	#	\Am	M
Clara Kimball Young	Young	Clara Kimball	1890	\Am	F
Gig Young	Barr	Byron	1913	\Am	M
Karen Young	#	#	#	\Un	M
Mat Young	#	#	#	\Un	M
Robert Young	Young	Robert	1907	\Am	M
Roland Young	Young	Roland	1887	\Br	M
Skip Young	#	#	#	\Un	M
Stephen Young	#	#	#	\Un	M
Victor Sen Young	#	#	#	\Un	M
George Zacco	#	#	#	\Un	M
Pia Zadora	Zadora	Pia	1956	\Am	F
Lenore Zann	#	#	#	\Un	F
Frank Zappa	#	#	#	\Un	M
Michael Zaslow	#	#	#	\Un	M
Suzanne Zenor	#	#	#	\Un	F
Renee Zellweger	fmn	gn	1970	\Un	G
Delphine Zentout	Zentout	Delphine	1973	\Fr	F
Carla Ziegfeld	#	#	#	\Un	F
Laurie Zimmer	#	#	#	\Un	F
Adrian Zmed	#	#	#	\Un	M
Vera Zorina	Hartwig	Eva Brigitta	1917	\No	F
George Zucco	Zucco	George	1886	\Br	M
David Zucker	#	#	#	\Un	M
Jerry Zucker	#	#	#	\Un	M
Daphne Zuniga	#	#	#	\Un	F
Frantisek Zvarik	#	#	#	\Un	M
Darrell Zwerling	#	#	#	\Un	M
